Site,Website,Email,Phone Number,Location,Providers,Age Range,Offers Therapy Services,Therapy Services Offered,Offers Assesment and/or Diagnosis,Assessment and Diagnosis Services,Offers Advocacy and /or Education Support,Advocacy or Education Services,Insurance Info,Language Info,Notes
UWM Speech Clinic,https://uwm.edu/rehabilitation-sciences-technology/community/speech-language-clinic/,slclinic-1@uwm.edu,(414) 251-6316," 2400 E. Hartford Ave.,  Enderis Hall, Room 864,  Milwaukee, WI 53211",,"Child 2
 and older,  Adolescent,  Adult",TRUE,"Speech and Communication Therapies, non intensive",,Speech and Communication assessment only,,,,,
Waisman Center,www.waisman.wisc.edu/clinics-asd-dd.htm,,(608) 263-3301," 1500 Highland Avenue, Madison, WI 53705",,"Infant to 18
 years",,,TRUE,"Autism Diagnosis,  Complex Autism Diagnosis",,,,,
"Waukesha Memorial Hospital,  Neuropsychology",,,(262) 928-7674," 721 American Avenue, Suite 406, Waukesha, WI 53188", Dr. Rebecca Torres,2 years to 18 years,,,TRUE,"Neuropsychological Assessment,  Autism
 Diagnosis",,,,,
Weeden and Associates,https://www.weedenassociates.com/our-team/melissa-fockel-msw-lcsw/,,(262) 375-9225," W67 N222 Evergreen Blvd.,  North Building, Suite 111, Cedarburg, WI 53012","Melissa Fockel, MSW, LCSW","Child,  Adolescent",TRUE,"Play-based therapy: Anxiety, depression,  Dialectical Behavior Therapy,  Cognitive Behavioral Therapy",,,,,,,
WI Early Autism Project (WEAP),http://www.wiautism.com/,,(262) 432-5660," 150 N Sunny Slope Rd, Brookfield, WI 53005",,2 years to 4 years,TRUE,Intensive ABA in home therapy,TRUE,Autism Diagnosis,,,,,
Wiebusch & Nicholson Center for Autism,www. wncautism.com,,(262) 347-0701," N 27 W 23953 Paul Road Suite 206, Pewaukee, WI 53072",Dr. Chris Wiebusch,3 years to 18 years,TRUE,Intensive ABA in home therapy,TRUE,Autism Diagnosis,,,,,
,,tiffany.kodak@marquette.edu,(414) 288-6744,,Dr. Tiffany Kodak,Child,TRUE,In-home and clinic intensive and non-intensive ABA therapies,,,,,,,
,,, (414) 773-4312,"Aurora Behavioral Health Center, 1220 Dewey Ave, Wauwatosa, WI 53213",Dr. Gregg Hintz,"Child,  Adolescent,  Adult",TRUE,"Play Therapy,  Family Therapy,  Anxiety,  Depression,  Assessment,  Autism Spectrum Disorder",,,,,,,
,www.autismconsultingservicesofmilwaukee.com,Jlemkepawlak.rdi@gmail.com,,,Jennifer Lemke-Pawlak,"Child,  Adolescent,  Adult",,,,,TRUE,"School consultation/advocacy,  family consultation/advocacy",CLTS waiver accepted,,
,https://www.thevisiontherapycenter.com/about-us/dr-kellye-knueppel,,(262) 784-9201,"13255 W Bluemound Rd, #200, Brookfield, WI 53005",Dr. Kellye Kneupple,"Child, 
 Adult",,,TRUE,Vision assessment only,,,,,
Autism Society of Southeastern Wisconsin (ASSEW),www.assew.org,,(414) 988-1260,,,,,,,,TRUE,"Resources for parents, caregivers, advocates, and providers",,,
Southeast Regional Center - Children and Youth with Special Health Care Needs,www.southeastregionalcenter.org,,(800) 234-KIDS (5437),,,0 years to 21 years,,,,,TRUE,"Support for parents and caregivers,    Services for children with physical, developmental, behavioral, or emotional conditions.",,,
Milwaukee County's Disability Services Division,,,(414) 289-6799,,,Child,,,,,TRUE,"Information about county-run programs, benefits, and services for children with disabilities.",,,
Disability Rights Wisconsin,www.disabilityrightswi.org,,(800) 928-8778,,,,,,,,TRUE,"Advocacy for the rights of people with disabilities. ,  Assistance with education, access to services, benefits, and other supports.",,,
WI FACETS,www.wifacets.org,,(877) 374-0511,,,,,,,,TRUE,"One-on-one support, advocacy, training, and resources for special education.",,,
IMPACT 2-1-1,www.impactinc.org/impact-211,,211,,,,,,,,TRUE,"Free, regional resource with 24-hour staff providing assistance in accessing specific resources for children and their families.",,,
Wisconsin First Step Hotline,www.mch-hotlines.org,,(800) 642-7837,,,,,,,,TRUE,24-hour information and referral assistance,,,for outside of the Southeastern Wisconsin area
WI Department of Health Services,www.dhs.wisconsin.gov/children/index.htm,,,,,,,,,,TRUE,"Information on services, benefits, and programs available to children with delays and disabilities",,,for state and county-funded services outside Milwaukee County






























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































