Word,Definition,Example,Source,Learn More
Context experts,People with lived experience of the situation. Their understanding of an issue includes the actual experience of the issue within a setting and how to navigate systems related to that issue. Context experts can also be content experts.,"These are the people who know about the issue through experience, including children and youth. For example, a mother in Milwaukee with a child with Autism Spectrum Disorder has context expertise about ASD, navigating disability services, raising a child with special needs, etc.",https://www.tamarackcommunity.ca/hubfs/Resources/Publications/The%20Context%20Experts.pdf?hsCtaTracking=56bc3396-2e91-49d8-8efc-95fa20b82878%7Cbddea62d-6f5b-4aa4-8b0d-292bbd5c5b9b,
Crisis,"A time when a difficult or important decision must be made during a time of intense difficulty, trouble, or danger.",When a person or group faces a frightening situation and is unable to cope with it. ,,
Cultural humility,A respectful attitude towards people of other cultures while challenging your own cultural biases and learning about other cultures.,"This could like look working with people of different races, religion, sexual orientation, or socioeconomic status in a respectful and educational way.",https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,
Culture,"The shared characteristics and knowledge of a group of people that includes language, religion, cuisine, social habits, music and arts. ",Unique social patterns and identity of groups of people. ,https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,
Depression,"A type of mood disorder characterized by low or grouchy/irritable mood or loss of interest or pleasure in almost all activities over a period of time that were previously of interest to the person. Depression isn't just shown by people who look sad, but it can also be with people who are always positive in social situations","Some symptoms and signs include pervasive thoughts about .. lack of motivation to handle daily activities, and being unusually distant.",https://www.bestselfwny.org/resources/glossary-of-mental-health-terms/,
Developmental delay,"A delay in a child in some area of development (mental, emotional, communication, learning, etc). A child may not meet a specific milestone at the typical age.","A child with Autism Spectrum Disorder often has social, emotional, or behavioral delays due to the difference in brain development. They may have trouble understanding social cues or starting conversations with others and can have tantrums that take longer to calm down.",https://www.cdc.gov/ncbddd/actearly/milestones/index.html,https://nyulangone.org/conditions/developmental-delays-in-children/types
Developmental Disabilities,"Age-related/developmental disabilities are a group of conditions due to an loss/impairment in physical, learning, language, or behavior areas. It results in loss/impairment of knowledgeable/intellectual functioning or flexible/adaptive behavior. These conditions begin during the age-related developmental period and may impact day-to-day functioning.",These conditions begin during the growing/developmental period and may impact day-to-day operations.,"https://medlineplus.gov/developmentaldisabilities.html#:~:text=Developmental%20disabilities%20are%20severe%2C%20long,and%20can%20affect%20everyday%20living.",
Developmental milestones,"Developmental milestones are actions, words, and movements that children at a certain age are typically doing.","Skills such as taking a first step, smiling for the first time, and waving ""bye bye"" are called developmental milestones. A child shows they have reached certain milestones by the way they play, speak, act, and move (crawling and walking).",https://www.cdc.gov/ncbddd/actearly/milestones/index.html,https://nyulangone.org/conditions/developmental-delays-in-children/types
Developmental screening,"A test that is done to see where a child is at in the developmental phases (also known as milestones). This can be completed by a teacher, a doctor, a Community Health Worker, or another caregiver, but the primary caregiver should always be involved.",The Ages and Stages Questionnaire (ASQ) is a screening system that is completed to check for delays and improve child outcome.,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,https://agesandstages.com/
Discrimination,"The unequal treatment of members of various groups based on race,
ethnicity, gender, gender expression, socioeconomic class, sexual orientation, physical or mental ability, religion, citizenship status, a combination of those identified, and/or other categories.","Treating a person or a group of people badly and less than others because of their race, religion, sexual orientation, gender, or a combination of multiple factors. Discrimination also shows up in systems of care because of systemic issues.",https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,
Early intervention,"A term used to describe services and support that help babies and young children (ages 0-3) with developmental delays or disabilities, and their families. The earlier the intervention, the more likely a child can get back on track with development and cope with issues.","Speech therapy, physical therapy, and other types of services based on the needs of the family",https://www.mhanational.org/issues/prevention-and-early-intervention-mental-health-early-childhood-puberty,
Eating Disorder,Unhealthy pattern of eating characterized by concerns with food and inaccurate/distorted body image.,"Most common eating disorders are anorexia (eating very little), bulimia (eating a lot and then throwing it up intentionally), and binge eating (eating excessively even when not hungry), but you can also have an eating disorder that doesn’t fall into one of these categories.",https://www.bestselfwny.org/resources/glossary-of-mental-health-terms/,
Evidence Based Practice (EBP),"Is a careful, problem-solving approach to delivering health care  that incorporates the best proof/evidence from well-planned studies, patient values and first preferences, and a clinician's organized research in making decisions about the care of individual patients.",The adding (integration) of best research proof/evidence with clinical knowledge/expertise and patient values.,https://www.asha.org/Research/EBP/Evidence-Based-Practice/,
Exclusionary discipline,"This is a practice in schools and early childhood centers that involves making the child leave the classroom, program, or school for a short time or for a long time (even permanently). ","In-school suspensions, out of school suspensions, expulsion, and 'soft' 
expulsion (a parent/caregiver being called to constantly picking up student from school) are examples of exclusionary discipline.",https://preventexpulsion.org/,
Family Navigator,Family Navigators connect families to services and support them through difficult conversations about their child's development.,"At the nextstep clinic, Family Navigators work closely with parents to help guide them through the system and create connections to providers and community health workers. ",https://www.mkekids.org/what-we-do/overview/next-step-clinic-family-navigation.html,
Implicit bias,"A belief or attitude that affects our understanding, decision, and actions,
and that exists without our conscious awareness. ",,https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,
In-Network,"When a doctor, hospital or other provider accepts your health insurance plan. This means your co-pays and deductible count toward this visit.",,https://www.bcbsm.com/index/health-insurance-help/faqs/topics/how-health-insurance-works/difference-between-in-network-out-of-network-benefits.html,
Infant and Early Childhood Mental Health Consultation (IEMHC or ECMHC),A way to support young children (ages 0-5) in growing social and emotional skills as well as addressing mental health issues before they arise (prevention) or after they arise (early intervention). This especially happens in places where kids are found such as early childhood education centers.,A mental health professional is paired with a teacher who works with 2-year-olds. The professional helps the teacher set up their classroom to support one 2-year-old who needs more structure & helps the teacher show all kids how to deep breathe when they might throw a tantrum.,https://wiaimh.org/iecmh,
Interpersonal racism,"The racism that happens between individuals. It is when someone knowingly or unknowingly acts on racist thoughts, in ways that keep up stereotypes and harms people of color. ","This can happen through attitudes or actions such as leaving someone out in a social setting, treating someone unfairly, and threats and harassment. ",https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,
Lived Experience,Refers to a person who has experience with mental health conditions and the knowledge that they gain from these experiences. Just as important as college/academic credentials and they provide trustworthiness/credibility and trust. ,"A person with lived experience works together as a partner to support a person through their journey with mental health. They also provide guidance on policy development, help improve care and how services in the industry are designed and delivered. ",https://www.youtube.com/watch?v=zG5_0PvjaKs,
Mental Health,"Mental health is a spectrum. Mental health has to do with how we think, feel, and act. Like physical health, we can take care of our well-being with our activities and with help from others, especially professionals. It is your emotional, mental health of your mind/psychological, and social well-being. It affects how you think, feel, and act. It also helps determine how you handle stress, relate to others, and make choices.","When we don’t feel good about life or when we feel like our thinking, feelings, or behaviors are getting in the way of our goals with our family, our work, or our friends, then it’s time to seek professional help as you would see a doctor for physical health concerns. ",https://www.mentalhealth.gov/basics/what-is-mental-health,
Mental Health Conditions,"Anxiety disorders, panic disorders, obsessive-compulsive disorders, phobias, depression, prolonged sadness, personality changes, extreme mood swings, excessive anger, bipolar disorder, hallucinations, withdrawal from social situations, mood disorders, eating disorders, post traumatic stress disorder (PTSD), psychotic disorders (schizophrenia), personality disorders, suicidal thoughts, self harm or harm to others, violent behavior, drug addiction, alcoholism, Autism Spectrum Disorder (ASD), Attention-Deficit/Hyperactivity Disorder (ADHD).Attention-Deficit Disorder (ADD), Oppositional Defiant Disorder (ODD), etc. are SOME common disorders. The list mentioned does not include all disorders. Most mental health conditions involve a symptom that interferes with your daily life.",: Most mental health conditions involve a symptom that interferes with your daily life.,https://medlineplus.gov/mentaldisorders.html,
Mental well-being,"A state of well-being in which the individual realizes their own abilities, can cope with the typical stresses of life, can work productively, and is able to be involved in their community.",,https://children.wi.gov/Documents/Glossary.pdf,
Obsessive Compulsive Disorder (OCD),"Is a mental health illness/disorder that affects people of all ages and walks of life, and occurs when a person gets caught in a cycle of obsessions and compulsions. ","Obsessions are unwanted, recurrent and persistent/intrusive thoughts, images, or urges that trigger intensely distressing feelings.  Compulsions refer to repetitive behaviors and rituals (like hand washing, hoarding, ordering, checking) or mental acts (like counting, repeating words silently, avoiding). Both cause severe anxiety or distress",https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd/index.shtml,
Oppositional Defiant Disorder,"An ongoing pattern of anger, irritability, arguing, uncooperative, hostile behavior, defiance or vindictiveness toward you and other authority figures. These behaviors seriously interfere with the youngster’s day to day functioning.","A child isn't likely to see his or her behavior as a problem. Instead, he or she will probably complain about unreasonable demands or blame others for problems.",https://www.mayoclinic.org/diseases-conditions/oppositional-defiant-disorder/symptoms-causes/syc-20375831,
Out-of-network,When you go to a doctor or provider who doesn’t accept your insurance plan. This means your co-pays and deductible DO NOT count toward your insurance plan for this visit.,,https://www.bcbsm.com/index/health-insurance-help/faqs/topics/how-health-insurance-works/difference-between-in-network-out-of-network-benefits.html,
Parent Peer Specialist,"Combines knowledge gained (“Lived experience”) from parenting children and youth with social, emotional, behavioral, mental health and/or substance abuse challenges. Attends training's to increase their skills to support other parents or those in a parenting role.",A Parent Peer Specialist uses their knowledge to support/mentor/ advocate other parents who are experiencing the same or similar situation.  ,,
Peer Specialist,Are people who’ve personally experienced mental health challenges and are ready to help others through their mental health,A Peer Specialist helps provide support to others who are going through similar experiences. They can also help people set goals and develop strategies to move forward in their recovery. Peer specialists act as role models and sources of support. They share their personal experiences of recovery to give hope and guidance to others.,,
Physical Abuse,Any on purpose/non-accidental physical injury to a person. ,"Physical injury can include striking, kicking, burning, punching, choking, knocking down, biting, or any action that results in a physical impairment of the person that is intentional or reckless. Some indicators are multiple bruises, fractures (broken bones), burns, bed sores, fear, depression, unexplained weight loss and assault.",,
Positive stress,"This type of stress can motivate, focus energy, feel exciting, and improve performance. This type of stress is a normal part of healthy development that increases the heart rate slightly and is short-term. ",A first day with a new caregiver or getting a shot from the doctor could cause positive stress. ,https://children.wi.gov/Documents/Glossary.pdf,
Post Traumatic Stress Disorder (PTSD),"Is a mental health condition that's caused by a terrifying, shocking, or unexpected event (that is usually outside the range of regular human experience) by experiencing it or witnessing it. The event/trauma is usually so intense that it can overpower a person's surviving skills and create powerful feelings of fear and helplessness. ",A person who experiences a sudden or unexpected event and is unable to survive in their daily life without out help. Reliving the event through flashbacks (memories) or nightmares is common.,,
Protective Factors Framework,"A set of strengths that support families in staying healthy and strong. These factors guide programs, services, supports and interventions to prevent child maltreatment and promote healthy outcomes. ","The five factors are parental resilience, social connections, knowledge of parenting and child development, concrete support in times of need, social and emotional competence of children. ",https://cssp.org/wp-content/uploads/2018/11/About-Strengthening-Families.pdf,https://fiveforfamilies.org/
Psychiatrist,"A medical doctor who often diagnoses and treats conditions such as: depression, anxiety disorders, obsessive-compulsive disorder (OCD), bipolar disorder, schizophrenia. Prescribing medications is often their primary approach to providing treatment. ",A medical doctor who can diagnose and treat mental health illness/conditions. But they do not offer counseling and will refer you to another professional who does provide counseling. ,https://en.wikipedia.org/wiki/Psychiatrist,
Psychologist,"A therapy professional who is trained to diagnose and treat mental health conditions and challenges, such as: depression, anxiety disorders, eating disorders, learning difficulties, relationship problems. substance abuse. A psychologist can prescribe medicine. ",Psychologists might also give a psychological tests; an IQ test or personality test. A psychologist can actually help you learn to manage your symptoms through counseling or other forms of therapy. ,https://www.betterhelp.com/advice/psychologists/what-is-the-difference-between-a-therapist-and-a-psychologist/,
Psychotherapy,A form of mental health treatment that involves calming/therapeutic conversations and interactions between a therapist and a child or family.,,,
Racial disparity,"An unequal outcome one racial group experiences as compared to the
outcome for another racial group.","If African Americans and Hispanics were incarcerated at the same rates as whites, prison and jail populations would decline by almost 40% - https://www.naacp.org/criminal-justice-fact-sheet/",http://frameworksinstitute.org/toolkits/race/resources/pdf/disparitiesmessagebrief.pdf,https://www.acf.hhs.gov/sites/default/files/cb/es2011_session_509.pdf
Racial disproportionality,When the number of one group is larger (overrepresented) or smaller (underrepresented) than the general population. This is caused by discriminatory practices like over policing or unchecked implicit biases.,"African Americans make up 12% of the U.S. population, but make up 40% of all arrests and 50% of the prison population. Similarly, the percentage kids of color in foster care is much higher than the percentage of kids of color in the U.S. population. ",https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,https://www.acf.hhs.gov/sites/default/files/cb/es2011_session_509.pdf
Racial equity,"Right now, most research studies find that race affects outcomes (health, etc.). Racial equity would be when race is no longer that factor","Right now, you can predict how old you can expect to live based on your zipcode. Racial equity means that zipcode would no longer predict life expectancy.",https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,https://www.centerforsocialinclusion.org/our-work/what-is-racial-equity/
Racial justice,"Having policies, beliefs, practices, attitudes, and actions that create opportunity, treatment, and power for people of all races, especially keeping mind how some races and places have been unfairly treated for centuries. The goal is to remedy, prevent, and overcome disparities.",,https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,https://study.com/academy/lesson/what-is-racial-justice-lesson-for-kids.html
Racism,"People in one racial group hold power over people in other racial groups through the belief that they are superior. Even if people do not know they have this belief, this power is kept in place because of how policies are written, organizations are structured, and messages are shared.","The most common example of racism is white supremacy, which is the belief that those of European descent are the 'master race'. This comes across in messaging such as who is thought of as a ""thug"" and who isn't or what behaviors are considered ""white"" and not.",https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,http://encyclopedia.kids.net.au/page/ra/Racism
Reactive Attachment Disorder (RAD),"A complex mental health/ psychiatric illness in which an infant or young child (usually presents by age 5,) does not form a secure, healthy emotional bond with his or her primary caretakers (parental figures). Children usually have trouble managing their emotions and they struggle to form meaningful relations with other people.","Some signs a child might show are: unexplained pulling away, fear, sadness or irritability, not seeking comfort or showing no response when comfort is given, watching others closely but not engaging in social interaction.",https://www.mayoclinic.org/diseases-conditions/reactive-attachment-disorder/symptoms-causes/syc-20352939,
Resilience,"The ability to bounce back despite challenging or threatening circumstances. This is sometimes called ""inner strength"" and can be supported by other factors like faith, friends, or resources.","We see this clearly in large scale after disasters (COVID-19, storms, September 11th). People come to one another's aid, innovate, laugh and love and work, and rebuild their lives.",https://cssp.org/wp-content/uploads/2018/10/Core-Meanings-of-the-SF-Protective-Factors-2015.pdf,https://fiveforfamilies.org/learn-the-5-strengths/building-inner-strength/ 
Serve and return,"Brains are built when an adult talks with the child. Healthy development happens when young children ""serve"" through babbling, gestures or words, and adults then ""return"" by copying the child.","This is like a game of tennis, ping pong, or volleyball where the child and adult go back-and-forth ""serving"" and ""returning"". ",http://eccp.civiccanopy.org/message-platform/,http://eccp.civiccanopy.org/message-platform/
Sexual Abuse,"Is sexual behavior or a sexual act (ranging from fondling to forcible rape) forced upon a woman, man or child without their consent. Sexual abuse is never the fault of the person who was sexually abused.",A sexual act ranging from fondling to rape; taking advantage of a victim not able or not willing to give consent. An abuser may continue with the act and overpower a person even when they do not agree to the act.  ,https://www.apa.org/topics/sexual-abuse,
Social Emotional Learning (SEL),"The ability to understand and manage one's emotions, reactions and relationships. Having the skills to control your thoughts, feelings, and behavior in a positive way can lead to well-being (enjoy life, have positive and healthy relationships, and work towards goals).","Adults learn to manage stress so they do not yell at children and also to communicate when they are upset. This can be learned much earlier too. Kids learn to wait patiently, show respect for others, etc. This leads to better communication, better focus, and fewer disciplinary issues.",https://children.wi.gov/Documents/Glossary.pdf,http://milwaukeesucceeds.org/what-we-do/social-and-emotional-learning
Social Stigma,Harmful attitudes and discriminating behavior directed towards individuals with mental health problems as a result of the diagnosis they have been given.,A person with a mental health diagnosis finds that friends avoid them. ,https://www.mentalhealth.org.uk/a-to-z/s/stigma-and-discrimination,
Stereotype ,A belief about a certain group of people that compares them all to one another and are often brought up jokingly. Stereotypes contribute to bias and can have a real effect on people within a specific group.,"Racial, sexual and gender comments are the biggest stereotypes. Saying that all Black people are good at sports or saying all women are nurturing and kind are stereotypes because it groups people into one category that minimizes them if they don't fit within that stereotype. ",https://cssp.org/wp-content/uploads/2019/09/Key-Equity-Terms-and-Concepts-vol1.pdf,
Stigma,A feeling of shame or embarrassment brought about by lack of knowledge of a condition by another person. ,When a person does not seek help for their mental health illness/condition because of what others think.,https://www.mayoclinic.org/diseases-conditions/mental-illness/in-depth/mental-health/art-20046477,
Self Stigma,Is your personal belief about they way others feel about you. Feelings are kept inside by the mental health sufferer. Their views of discrimination and felt stigma can drastically affect feelings of shame and lead to poorer treatment outcomes.,"Depression is a sign of personal weakness, is an example of perceived stigma. When a person believes they are their diagnosis, not a person with their diagnosis is an example of self-stigma.  ",https://www.mentalhealth.org.nz/assets/ResourceFinder/individual-self-stigma-resource-card-4.pdf,
Substance Abuse / Dependence,The inability to control one’s behaviors due to both a physical and emotional dependence on a substance that is legal or illegal. Also referred to as addiction.,"Using a legal (prescribed medication) or illegal (pot, cocaine, heroin, etc.) substance to become high and not deal with feelings or emotions. As a result you need the substance to function daily. ",,
Therapist:,"Trained in psychotherapy and family system. They often treat individuals, couples, and families who are coping with marital problems or child-parent.",A therapist is not licensed to prescribe medication but can work with other healthcare providers who can prescribe medications.,https://www.betterhelp.com/advice/psychologists/what-is-the-difference-between-a-therapist-and-a-psychologist/,
Tolerable stress,"This is a longer-lasting, more intense increase of the heart rate and the body's alert system. If the child is helped during this time to shorten the time their heart rate is elevated, the brain and other organs can recover from what could cause damage. ","This could happen after the death of a loved one, a natural disaster, or a frightening injury.",https://children.wi.gov/Documents/Glossary.pdf,
Toxic stress,"A type of stress that is caused by repeated, prolonged, or extreme experiences of negative events. This type of stress can effect the development of brain architecture and other organ systems. ","This could be experiences physical or emotional abuse, repeated exposure to community violence, or growing up homeless. Toxic stress raises the risk of physical and mental health problems, including heart disease and depression.",https://children.wi.gov/Documents/Glossary.pdf,
Trauma,A mental and emotional response to experiences that trigger toxic stress,"Something very upsetting such as being involved in an accident, losing a loved one, going through a divorce, witnessing violence, ect.",,https://www.mhanational.org/tags/trauma
Trauma informed care," Trauma informed care is an approach based on knowledge of the impact of trauma, aimed at ensuring environments and services that are welcoming and engaging for everyone and that limit re-traumatizing people.",,,
Trigger,"Are events coming from a source outside or situation that may produce very uncomfortable emotional or mental health/psychiatric symptoms, such as anxiety, panic, discouragement, despair, or negative self-talk. People typically use this term when describing post-traumatic stress (PTSD).","A a stimulus such as a smell, sound, or sight that produce feelings of  anxiety from a traumatic event that happened to you.",,
